nivel,codigo,nombre
segmento,10,Material
segmento,11,Materiales de Minerales y Tejidos y de Plantas y Animales no Comestibles
segmento,12,Productos químicos incluyendo los bio-químicos y gases industriales
segmento,13,Resina y Colofonia y Caucho y Espuma y Película y Materiales Elastoméricos
segmento,14,Materiales y Productos de Papel
segmento,15,Combustibles
segmento,20,Maquinaria de minería y perforación de pozos y accesorios
segmento,21,Maquinaria y Accesorios para Agricultura
segmento,22,Maquinaria y Accesorios para Construcción y Edificación
segmento,23,Maquinaria y Accesorios de Fabricación y Transformación Industrial
segmento,24,Maquinaria
segmento,25,Vehículos Comerciales
segmento,26,Maquinaria y Accesorios para Generación y Distribución de Energía
segmento,27,Herramientas y Maquinaria en General
segmento,30,Componentes y Suministros de Fabricación
segmento,31,Componentes y Suministros de Fabricación
segmento,32,Componentes y Suministros Electrónicos
segmento,39,Suministros
segmento,40,Sistemas
segmento,41,Equipo de Laboratorio
segmento,42,Equipo
segmento,43,Telecomunicaciones y radiodifusión de tecnología de la información
segmento,44,Equipo
segmento,45,Equipo y Suministros de Imprenta
segmento,46,Equipos y Suministros de Defensa
segmento,47,Equipo y Suministros de limpieza
segmento,48,Maquinaria
segmento,49,Equipos
segmento,50,Alimentos
segmento,51,Medicamentos y Productos Farmacéuticos
segmento,52,Muebles
segmento,53,Ropa
segmento,54,Productos para Relojería
segmento,55,Productos Publicados
segmento,56,Muebles y mobiliario
segmento,57,"Humanitarian Relief Items, Kits, or Accessories"
segmento,60,Instrumentos musicales
segmento,64,"Financial Instruments, Products, Contracts and Agreements"
segmento,70,Servicios de Contratación Agrícola
segmento,71,Servicios de Perforación de Minería
segmento,72,Servicios de Construcción y Mantenimiento
segmento,73,Servicios de Producción y Fabricación Industrial
segmento,76,Servicios de Limpieza Industrial
segmento,77,Servicios Medioambientales
segmento,78,Servicios de Transporte
segmento,80,Servicios de Gestión
segmento,81,Servicios basados en ingeniería
segmento,82,Servicios Editoriales
segmento,83,Servicios Públicos y Servicios Relacionados con el Sector Público
segmento,84,Servicios Financieros y de Seguros
segmento,85,Servicios Sanitarios
segmento,86,Servicios Educativos y de Formación
segmento,90,Servicios de Viajes
segmento,91,Servicios Personales y Domésticos
segmento,92,Servicios de Defensa Nacional
segmento,93,Servicios Políticos y de Asuntos Cívicos
segmento,94,Organizaciones y Clubes
segmento,95,Land and Buildings and Structures and Thoroughfares
familia,1010,Animales vivos
familia,1011,Productos de casa para el animal doméstico
familia,1012,Pienso para animales
familia,1013,Recipientes y hábitat para animales
familia,1014,Artículos de talabartería y arreos
familia,1015,Semillas
familia,1016,Productos de floricultura y silvicultura
familia,1017,Abonos
familia,1019,Productos para el control de plagas y malas hierbas
familia,1020,Live rose bushes
familia,1021,Live plants of high species or variety count flowers
familia,1022,Live plants of low species or variety count flowers
familia,1110,Minerales
familia,1111,Tierra y piedra
familia,1112,Productos no comestibles de planta y silvicultura
familia,1113,Productos animales no comestibles
familia,1114,Chatarra y materiales de desecho
familia,1115,Fibra
familia,1116,Tejidos y materiales de cuero
familia,1117,Aleaciones
familia,1118,Óxido metálico
familia,1119,Desechos metálicos y chatarra
familia,1213,Materiales explosivos
familia,1214,Elementos y gases
familia,1216,Aditivos
familia,1217,Colorantes
familia,1218,Ceras y aceites
familia,1219,Solventes
familia,1235,Compuestos y mezclas
familia,1310,Caucho y elastómeros
familia,1311,Resinas y colofonias y otros materiales derivados de resina
familia,1410,Materiales de papel
familia,1411,Productos de papel
familia,1412,Papel para uso industrial
familia,1510,Combustibles
familia,1511,Combustibles gaseosos y aditivos
familia,1512,Lubricantes
familia,1513,Combustible para reactores nucleares
familia,2010,Maquinaria y equipo de minería y explotación de canteras
familia,2011,Equipo de perforación y explotación de pozos
familia,2012,Equipo para perforación y exploración para petróleo
familia,2013,Materiales para operaciones y perforación de petróleo y gas
familia,2014,Equipo de producción y operación de gas y petróleo
familia,2110,Maquinaria y equipo para agricultura
familia,2111,Equipo de pesca y acuicultura
familia,2210,Maquinaria y equipo pesado de construcción
familia,2310,Maquinaria para la transformación de materias primas
familia,2311,Maquinaria para transformación de petróleo
familia,2312,Maquinaria y accesorios de textiles y tejidos
familia,2313,Maquinaria y equipos lapidarios
familia,2314,Maquinaria de reparación y accesorios para trabajar cuero
familia,2315,Maquinaria
familia,2316,Máquinas
familia,2318,Equipo industrial para alimentos y bebidas
familia,2319,Mezcladores y sus partes y accesorios
familia,2320,Equipamiento par transferencia de masa
familia,2321,Maquinaria de fabricación electrónica
familia,2322,Equipo y maquinaria de procesamiento de pollos
familia,2323,Equipo y maquinaria de procesamiento de madera y aserrado
familia,2324,Metal cutting machinery and accessories
familia,2325,Metal forming machinery and accessories
familia,2326,Rapid prototyping machinery and accessories
familia,2327,Welding and soldering and brazing machinery and accessories and supplies
familia,2328,Metal treatment machinery
familia,2329,Industrial machine tools
familia,2330,Wire machinery and equipment
familia,2410,Maquinaria y equipo para manejo de materiales
familia,2411,Recipientes y almacenamiento
familia,2412,Materiales de envasado
familia,2413,Refrigeración industrial
familia,2414,Suministros de embalaje
familia,2510,Vehículos de motor
familia,2511,Transporte marítimo
familia,2512,Maquinaria y equipo para ferrocarril y tranvías
familia,2513,Aeronaves
familia,2515,Cosmonaves
familia,2516,Bicicletas no motorizadas
familia,2517,Componentes y sistemas de transporte
familia,2518,Carrocerías y remolques
familia,2519,Equipo para servicios de transporte
familia,2520,Sistemas aeroespaciales y componentes y equipo
familia,2610,Fuentes de energía
familia,2611,Transmisión de baterías
familia,2612,Alambres
familia,2613,Generación de energía
familia,2614,Maquinaria y equipo para energía atómica o nuclear
familia,2711,Herramientas de mano
familia,2712,Maquinaria y equipo hidráulico
familia,2713,Maquinaria y equipo neumático
familia,2714,Herramientas especializadas de automoción
familia,3010,Materiales estructurales: formas básicas
familia,3011,Hormigón
familia,3012,Carreteras y paisaje
familia,3013,Productos de construcción estructurales
familia,3014,Aislamiento
familia,3015,Materiales para acabado de exteriores
familia,3016,Materiales de acabado de interiores
familia,3017,Puertas y ventanas y vidrio
familia,3018,Instalaciones de baño
familia,3019,Equipo de apoyo para Construcción y Mantenimiento
familia,3024,Portable Structure Building Components
familia,3025,Underground mining structures and materials
familia,3026,Structural materials
familia,3110,Piezas de fundición
familia,3111,Extrusiones
familia,3113,Forjaduras
familia,3114,Molduras
familia,3115,Cuerda y cadena y cable y alambre y correa
familia,3116,Ferretería
familia,3117,Cojinetes
familia,3118,Juntas obturadoras y sellos
familia,3119,Materiales de molduración
familia,3120,Adhesivos y selladores
familia,3121,Pinturas y tapa poros y acabados
familia,3122,Extractos de teñir y de curtir
familia,3123,Materia prima en placas o barras labradas
familia,3124,Óptica industrial
familia,3125,Sistemas de control neumático
familia,3126,Cubiertas
familia,3127,Piezas hechas a máquina
familia,3128,Componentes de placa y estampados
familia,3129,Estiramientos por presión labrados
familia,3130,Forjas labradas
familia,3131,Conjuntos de tubería fabricada
familia,3132,Conjuntos fabricados de material en barras
familia,3133,Conjuntos estructurales fabricados
familia,3134,Conjuntos de placa fabricado
familia,3135,Conjuntos de tubería fabricada
familia,3136,Conjuntos de placa fabricados
familia,3137,Refractarios
familia,3138,imanes y materiales magnéticos
familia,3139,Machinings
familia,3140,Gaskets
familia,3141,Seals
familia,3142,Sintered parts
familia,3210,Circuitos impresos
familia,3211,Dispositivo semiconductor discreto
familia,3212,Componentes pasivos discretos
familia,3213,Piezas de componentes y hardware electrónicos y accesorios
familia,3214,Dispositivos de tubo electrónico y accesorios
familia,3215,Automation control devices and components and accessories
familia,3910,Lámparas y bombillas y componentes para lámparas
familia,3911,Iluminación
familia,3912,Equipos
familia,3913,Electrical wire management devices and accessories and supplies
familia,4010,Calefacción
familia,4014,Distribución de fluidos y gas
familia,4015,Bombas y compresores industriales
familia,4016,Filtrado y purificación industrial
familia,4017,Pipe piping and pipe fittings
familia,4018,Tubes tubing and tube fittings
familia,4110,Equipo de laboratorio y científico
familia,4111,Instrumentos de medida
familia,4112,Suministros y accesorios de laboratorio
familia,4115,"Clinical laboratory and toxicology testing systems, components, and supplies"
familia,4117,Diagnostic and microbiological devices
familia,4212,Equipos y suministros veterinarios
familia,4213,Telas y vestidos médicos
familia,4214,Suministros y productos de tratamiento y cuidado del enfermo
familia,4215,Equipos y suministros dentales
familia,4216,Equipo de diálisis y suministros
familia,4217,Productos para los servicios médicos de urgencias y campo
familia,4218,Productos de examen y control del paciente
familia,4219,Productos de facilidad médica
familia,4220,Productos de hacer imágenes diagnósticas médicas y de medicina nuclear
familia,4221,Ayuda para personas con desafíos físicos para vivir independiente
familia,4222,Productos para administración intravenosa y arterial
familia,4223,Nutrición clínica
familia,4224,Productos medicinales de deportes y prostético y ortopédico
familia,4225,Productos de rehabilitación y terapia ocupacional y física
familia,4226,Equipo y suministros post mortem y funerarios
familia,4227,Productos de resucitación y anestesia y respiratorio
familia,4228,Productos para la esterilización médica
familia,4229,Productos quirúrgicos
familia,4230,Suministros para formación y estudios de medicina
familia,4231,Productos para el cuidado de heridas
familia,4232,Orthopedic surgical implants
familia,4319,Dispositivos de comunicaciones y accesorios
familia,4320,Componentes para tecnología de la información
familia,4321,Equipo informático y accesorios
familia,4322,Datos-voz
familia,4323,Software
familia,4410,Maquinaria
familia,4411,Accesorios de oficina y escritorio
familia,4412,Suministros de oficina
familia,4510,Equipo de imprenta y publicación
familia,4511,Equipos de audio y video para presentación y composición
familia,4512,Equipo de vídeo
familia,4513,Medios fotográficos y de grabación
familia,4514,Suministros fotográficos para cine
familia,4610,Armas ligeras y munición
familia,4611,Armas de guerra convencionales
familia,4612,Misiles
familia,4613,Cohetes y subsistemas
familia,4614,Lanzadores
familia,4615,Orden Público
familia,4616,Seguridad y control público
familia,4617,Seguridad
familia,4618,Seguridad y protección personal
familia,4619,Protección contra incendios
familia,4620,Defense and law enforcement and security and safety training equipment
familia,4621,Workplace safety equipment and supplies and training materials
familia,4622,Military weapon and ammunition disarmament and disposal equipment and related products
familia,4710,Tratamiento
familia,4711,Equipo industrial de lavandería y limpieza en seco
familia,4712,Equipo de limpieza
familia,4713,Suministros de limpieza
familia,4810,Equipos de servicios de alimentación para instituciones
familia,4811,Máquinas expendedoras
familia,4812,Equipo de Juego o de Apostar
familia,4813,Funeral equipment and materials
familia,4910,Coleccionables y condecoraciones
familia,4912,Equipos y accesorios para acampada y exterior
familia,4913,Equipos de pesca y caza
familia,4914,Equipos para deportes acuáticos
familia,4915,Equipos para deportes de invierno
familia,4916,Equipos deportivos para campos y canchas
familia,4917,Equipos de gimnasia y boxeo
familia,4918,Juegos y equipo de tiro y mesa
familia,4920,Equipo para entrenamiento físico
familia,4921,Otros deportes
familia,4922,Equipo de deporte y accesorios
familia,4924,Equipo de recreo y parques infantiles y equipo y suministros de natación y de spa
familia,5010,Frutas
familia,5011,Productos de carne y aves de corral
familia,5012,Pescados y mariscos
familia,5013,Productos lácteos y huevos
familia,5015,Aceites y grasas comestibles
familia,5016,Chocolates
